Название,Вес,Цена
Колбаски и опятаnew,375 гр,10.99 руб.
Чикен Ранч,405 гр,19.99 руб.
Пепперони Блюз,345 гр,19.99 руб.
Овощная,655 гр,19.99 руб.
Маргарита,850 гр,19.99 руб.
Лесная,790 гр,19.99 руб.
Пепперони,525 гр,20.89 руб.
Гавайская,680 гр,22.99 руб.
Ветчина и грибы,860 гр,24.89 руб.
Фермерская,585 гр,25.89 руб.
Баварская,585 гр,25.89 руб.
Биф BBQnew,640 гр,25.99 руб.
Мексиканская,945 гр,25.99 руб.
5 Сыров,360 гр,25.99 руб.
Ривьера,650 гр,25.99 руб.
Спайси,880 гр,25.99 руб.
Супер Пепперони,940 гр,25.99 руб.
Гипнотика,630 гр,25.99 руб.
Тоскана,625 гр,25.99 руб.
  Креветки с ананасами,600 гр,25.99 руб.
Прованс,545 гр,27.89 руб.
Барбекю,570 гр,27.89 руб.
ЭкстраваганZZа,480 гр,27.99 руб.
МитZZа,715 гр,27.99 руб.
Карбонарахит,565 гр,28.89 руб.
Говядина BURGER,625 гр,28.89 руб.
Цыпленок Доминатор,635 гр,28.89 руб.
Грибная с голубым сыром,835 гр,30.89 руб.
Сытная,870 гр,30.89 руб.
Доминос Фирменнаяхит,1020 гр,30.99 руб.
Кантри,630 гр,31.89 руб.
Чикен Карри,595 гр,31.89 руб.
Мюнхенская,590 гр,32.89 руб.
Хатняя,1020 гр,32.89 руб.
